,acceleration_score,braking_score,turning_score,weaving_score,drifting_score,speeding_score,follow_score,road_type,class_normal,temp_F,humidity_pct,wind_speed_mph,wind_gust_mph,condition,day_night,speed_mph,class_normal_bool
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,38.95522557618613,0
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,40.099995299954145,0
2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,40.018754925905014,0
3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,38.81102004065974,0
4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,37.524521177485745,0
5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,40.02594112367635,0
6,100.0,100.0,100.0,100.0,99.8,90.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,37.82103170569895,0
7,100.0,100.0,100.0,100.0,99.0,70.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,42.07675706585521,0
8,100.0,100.0,100.0,100.0,98.3,63.3,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,41.79645910585537,0
9,100.0,100.0,100.0,100.0,97.8,60.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,43.85795372448803,0
10,100.0,100.0,100.0,100.0,97.0,48.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,46.464192692731956,0
11,100.0,100.0,100.0,100.0,87.9,40.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,45.34266155166489,0
12,100.0,100.0,100.0,100.0,84.0,34.3,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,45.544258617817725,0
13,100.0,100.0,100.0,100.0,81.5,30.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,46.75089162862233,0
14,100.0,100.0,100.0,100.0,79.9,26.7,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,50.086496122409514,0
15,100.0,100.0,100.0,100.0,78.7,14.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,48.86942226678379,0
16,100.0,100.0,100.0,100.0,77.8,3.6,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,50.30876424513144,0
17,100.0,100.0,100.0,100.0,77.1,11.7,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,47.661022344702175,0
18,100.0,100.0,0.0,100.0,76.2,18.5,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,49.58563362792777,0
19,100.0,100.0,0.0,100.0,75.4,24.3,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,50.29716566462976,0
20,100.0,100.0,0.0,100.0,74.7,29.3,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,50.18657782506305,0
21,100.0,100.0,0.0,100.0,74.3,33.8,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,53.49826929355798,0
22,100.0,100.0,0.0,100.0,73.6,37.6,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,51.42793754676206,0
23,100.0,100.0,0.0,100.0,73.0,41.1,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,56.51658366166437,0
24,100.0,100.0,0.0,100.0,72.3,44.2,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,59.64592577636649,0
25,100.0,100.0,0.0,100.0,71.5,47.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,56.97122585747727,0
26,100.0,100.0,0.0,100.0,70.9,49.5,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,61.00175842153342,0
27,100.0,100.0,0.0,100.0,70.5,51.8,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,61.92814028386985,0
28,100.0,100.0,0.0,100.0,70.0,53.9,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,61.05066700083054,0
29,100.0,100.0,0.0,100.0,69.4,55.4,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,61.75478649515637,0
30,100.0,100.0,0.0,100.0,68.9,56.8,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,65.0485357231938,0
31,100.0,100.0,0.0,100.0,68.5,58.1,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,65.16189549515329,0
32,100.0,100.0,2.9,100.0,68.2,59.3,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,66.00281922730198,0
33,100.0,100.0,6.6,100.0,67.9,60.4,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,66.98565176655647,0
34,100.0,100.0,9.9,100.0,67.8,61.4,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,63.671636874041255,0
35,100.0,100.0,13.1,100.0,67.6,62.3,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,68.2897109183769,0
36,100.0,100.0,16.1,100.0,67.5,63.2,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,68.03441775074933,0
37,100.0,100.0,18.9,100.0,67.5,62.8,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,67.12204344609863,0
38,100.0,100.0,21.6,100.0,67.4,62.4,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,70.67836964047419,0
39,100.0,100.0,24.1,100.0,67.4,62.1,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,68.25882144578745,0
40,100.0,100.0,26.4,100.0,67.4,61.7,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,68.12322685771082,0
41,100.0,100.0,28.6,100.0,67.4,61.4,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,67.12173388601798,0
42,100.0,100.0,30.6,100.0,67.4,61.1,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,67.478427445282,0
43,100.0,100.0,32.5,100.0,67.4,60.8,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,67.53540173809489,0
44,100.0,100.0,34.3,100.0,67.4,60.5,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,66.32173538254101,0
45,100.0,100.0,36.1,100.0,67.4,61.2,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,68.57079339903694,0
46,100.0,100.0,37.6,100.0,67.4,62.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,65.4668264006558,0
47,100.0,100.0,39.2,100.0,67.4,62.6,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,67.85599469651538,0
48,100.0,100.0,40.7,100.0,67.5,63.3,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,66.93128376417977,0
49,100.0,100.0,42.1,100.0,67.6,63.9,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,67.57042814768198,0
50,100.0,100.0,43.4,100.0,67.6,64.4,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,66.33891837551757,0
51,100.0,100.0,44.6,100.0,67.7,65.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,64.13908990555869,0
52,100.0,100.0,45.9,100.0,67.8,65.5,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,70.22114644574432,0
53,100.0,100.0,47.1,100.0,67.9,66.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,66.19669526472727,0
54,100.0,100.0,48.2,100.0,68.0,66.5,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,67.12597047220723,0
55,100.0,100.0,49.3,100.0,68.1,67.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,67.1042943091447,0
56,100.0,100.0,50.3,100.0,68.2,67.5,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,68.0007197352564,0
57,100.0,100.0,51.3,100.0,68.3,67.9,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,66.37701999358643,0
58,100.0,100.0,52.2,100.0,68.4,68.3,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,65.59668690160547,0
59,100.0,100.0,53.1,100.0,68.5,68.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,65.44373105996843,0
60,100.0,100.0,54.0,100.0,68.5,68.4,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,69.64390432600142,0
61,100.0,100.0,54.9,100.0,68.6,68.8,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,66.89906489741747,0
62,100.0,100.0,55.7,100.0,68.7,69.1,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,66.38219587751362,0
63,100.0,100.0,56.5,100.0,68.7,69.5,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,67.41436045974075,0
64,100.0,100.0,57.1,100.0,68.8,69.8,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,61.042319550863546,0
65,100.0,100.0,57.8,100.0,68.8,70.3,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,63.85002823087906,0
66,100.0,100.0,58.5,100.0,68.9,70.8,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,63.249132025550516,0
67,100.0,100.0,59.1,100.0,69.0,71.3,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,60.390257884555105,0
68,100.0,100.0,59.8,100.0,69.1,71.7,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,61.60328856450378,0
69,100.0,100.0,60.3,100.0,69.2,72.2,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,60.31674071965619,0
70,100.0,100.0,60.9,100.0,69.3,72.6,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,59.6598435299025,0
71,100.0,100.0,61.5,100.0,69.4,73.0,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,60.411518387019846,0
72,100.0,100.0,62.0,100.0,69.5,73.4,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,57.65526572920015,0
73,100.0,100.0,62.5,100.0,69.6,73.8,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,57.750625341173176,0
74,100.0,100.0,63.0,100.0,69.6,74.2,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,57.941265400300495,0
75,100.0,100.0,63.4,100.0,69.6,74.6,100.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,57.20474148051481,0
76,100.0,100.0,63.9,100.0,69.6,74.9,99.3,SECONDARY,NORMAL,72,35,2,0,Fair,Night,56.85142651058618,0
77,100.0,100.0,64.3,100.0,69.6,75.3,99.3,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.30232652782056,0
78,100.0,100.0,64.7,100.0,69.6,75.6,99.3,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.246891421379175,0
79,100.0,100.0,65.2,100.0,69.5,75.9,99.3,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.35375195825759,0
80,100.0,100.0,65.6,100.0,69.4,76.3,99.3,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.864429950667436,0
81,100.0,100.0,65.9,100.0,69.3,76.6,98.8,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.503402067650356,0
82,100.0,100.0,66.3,100.0,69.2,76.9,98.5,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.863794039169726,0
83,100.0,100.0,66.7,100.0,69.1,77.2,98.5,SECONDARY,NORMAL,72,35,2,0,Fair,Night,51.685470630323,0
84,100.0,100.0,67.0,100.0,69.0,77.5,98.5,SECONDARY,NORMAL,72,35,2,0,Fair,Night,52.877768718128856,0
85,100.0,100.0,67.4,100.0,68.9,77.8,98.6,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.59000614676951,0
86,100.0,100.0,67.7,100.0,68.8,78.0,98.6,SECONDARY,NORMAL,72,35,2,0,Fair,Night,53.16026014888514,0
87,100.0,100.0,68.0,100.0,68.6,78.3,98.6,SECONDARY,NORMAL,72,35,2,0,Fair,Night,50.66657147073352,0
88,100.0,100.0,68.4,100.0,68.5,78.6,98.6,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.75209222221553,0
89,100.0,100.0,68.7,100.0,68.3,78.8,98.6,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.91072671154693,0
90,100.0,100.0,69.0,100.0,68.2,79.1,98.6,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.17707859029677,0
91,100.0,100.0,69.3,100.0,68.0,79.3,98.6,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.453855243137184,0
92,100.0,100.0,69.7,100.0,67.8,79.5,98.7,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.82989878856942,0
93,100.0,100.0,70.0,100.0,67.6,79.8,98.7,SECONDARY,NORMAL,72,35,2,0,Fair,Night,53.32905089565918,0
94,100.0,100.0,70.3,100.0,67.3,80.0,98.7,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.34505671240503,0
95,100.0,100.0,70.5,100.0,67.0,80.2,98.7,SECONDARY,NORMAL,72,35,2,0,Fair,Night,52.94679176488006,0
96,100.0,100.0,70.8,100.0,66.6,80.4,98.7,SECONDARY,NORMAL,72,35,2,0,Fair,Night,51.17368131448966,0
97,100.0,100.0,71.1,100.0,66.2,80.7,98.7,SECONDARY,NORMAL,72,35,2,0,Fair,Night,51.17365323679963,0
98,100.0,100.0,71.3,100.0,65.8,80.9,98.7,SECONDARY,NORMAL,72,35,2,0,Fair,Night,52.49290064322574,0
99,100.0,100.0,71.6,100.0,65.3,81.1,98.7,SECONDARY,NORMAL,72,35,2,0,Fair,Night,50.82985886182809,0
100,100.0,100.0,71.8,100.0,64.9,81.3,98.8,SECONDARY,NORMAL,72,35,2,0,Fair,Night,51.72032204280721,0
101,100.0,100.0,72.1,100.0,64.5,81.5,98.8,SECONDARY,NORMAL,72,35,2,0,Fair,Night,51.97285568127358,0
102,100.0,100.0,72.3,100.0,64.2,81.6,98.8,SECONDARY,NORMAL,72,35,2,0,Fair,Night,51.97903889696943,0
103,100.0,100.0,72.6,100.0,63.9,81.8,98.8,SECONDARY,NORMAL,72,35,2,0,Fair,Night,53.77998450578252,0
104,100.0,100.0,72.8,100.0,63.5,82.0,98.8,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.0687392712769,0
105,100.0,100.0,73.1,100.0,63.2,82.2,98.8,SECONDARY,NORMAL,72,35,2,0,Fair,Night,53.714017542678434,0
106,100.0,100.0,73.3,100.0,62.9,82.4,98.8,SECONDARY,NORMAL,72,35,2,0,Fair,Night,53.55048948620841,0
107,100.0,100.0,73.5,100.0,62.7,82.5,98.8,SECONDARY,NORMAL,72,35,2,0,Fair,Night,56.25074977097578,0
108,100.0,100.0,73.8,100.0,62.4,82.7,98.8,SECONDARY,NORMAL,72,35,2,0,Fair,Night,53.77591511326763,0
109,100.0,100.0,74.0,100.0,62.1,82.9,98.8,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.391277261676336,0
110,100.0,100.0,74.2,100.0,61.9,83.0,98.9,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.75482189002407,0
111,100.0,100.0,74.5,100.0,61.6,83.1,98.9,SECONDARY,NORMAL,72,35,2,0,Fair,Night,59.80228373173245,0
112,100.0,100.0,74.7,100.0,61.4,83.2,98.9,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.8097110066524,0
113,100.0,100.0,74.9,100.0,61.1,83.2,98.9,SECONDARY,NORMAL,72,35,2,0,Fair,Night,57.79946612623733,0
114,100.0,100.0,75.1,100.0,60.9,83.4,98.9,SECONDARY,NORMAL,72,35,2,0,Fair,Night,57.09224645031413,0
115,100.0,100.0,75.3,100.0,60.7,83.5,98.9,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.136567888848234,0
116,100.0,100.0,75.5,100.0,60.5,83.7,98.9,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.32963143413264,0
117,100.0,100.0,75.7,100.0,60.3,83.8,98.9,SECONDARY,NORMAL,72,35,2,0,Fair,Night,53.674214122988204,0
118,100.0,100.0,75.9,100.0,60.1,84.0,98.9,SECONDARY,NORMAL,72,35,2,0,Fair,Night,51.83349884743793,0
119,100.0,100.0,76.1,100.0,59.9,84.1,98.9,SECONDARY,NORMAL,72,35,2,0,Fair,Night,52.04303298144239,0
120,100.0,100.0,76.3,100.0,59.7,84.3,98.9,SECONDARY,NORMAL,72,35,2,0,Fair,Night,50.76439245739371,0
121,100.0,100.0,76.4,100.0,59.6,84.4,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,52.753202353869185,0
122,100.0,100.0,76.6,100.0,59.5,84.5,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,51.74892990323775,0
123,100.0,100.0,76.8,100.0,59.3,84.7,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,57.339458236398755,0
124,100.0,100.0,77.0,100.0,59.2,84.8,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,52.846313574514056,0
125,100.0,100.0,77.1,100.0,59.1,84.9,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,53.04711476532077,0
126,100.0,100.0,77.3,100.0,59.0,85.0,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.66366435245388,0
127,100.0,100.0,77.5,100.0,58.8,85.2,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,50.388547467635895,0
128,100.0,100.0,77.6,100.0,58.7,85.3,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,56.488548690425496,0
129,100.0,100.0,77.8,100.0,58.6,85.4,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,52.53059379799704,0
130,100.0,100.0,78.0,100.0,58.5,85.5,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.287812078515145,0
131,100.0,100.0,78.1,100.0,58.4,85.6,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,56.3763228963259,0
132,100.0,100.0,78.3,100.0,58.4,85.7,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,56.48747527488556,0
133,100.0,100.0,78.5,100.0,58.3,85.9,99.0,SECONDARY,NORMAL,72,35,2,0,Fair,Night,56.348138946683655,0
134,100.0,100.0,78.6,100.0,58.3,86.0,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,56.88571533668023,0
135,100.0,100.0,78.8,100.0,58.3,86.1,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.06304549826562,0
136,100.0,100.0,78.9,100.0,58.3,86.2,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.52622490295152,0
137,100.0,100.0,79.1,100.0,58.4,86.3,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,52.996758189674715,0
138,100.0,100.0,79.2,100.0,58.4,86.4,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.71017354074089,0
139,100.0,100.0,79.4,100.0,58.5,86.5,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.85371337558337,0
140,100.0,100.0,79.5,100.0,58.5,86.6,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,50.261660852407765,0
141,100.0,100.0,79.6,100.0,58.6,86.7,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,50.947866649639735,0
142,100.0,100.0,79.7,100.0,58.7,86.8,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,53.51574934301281,0
143,100.0,100.0,79.9,100.0,58.7,86.9,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,56.48708150613959,0
144,100.0,100.0,80.0,100.0,58.8,87.0,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,56.47834383835516,0
145,100.0,100.0,80.2,100.0,58.9,87.1,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.213158919877955,0
146,100.0,100.0,80.3,100.0,59.0,87.2,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,53.44595271652598,0
147,100.0,100.0,80.4,100.0,59.1,87.3,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.77262530170443,0
148,100.0,100.0,80.5,100.0,59.1,87.3,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,54.96214995675396,0
149,100.0,100.0,80.7,100.0,59.2,87.4,99.1,SECONDARY,NORMAL,72,35,2,0,Fair,Night,55.90977323183324,0
